fdc_id,description,brand_owner,data_type,food_category,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,cholesterol_mg,saturated_fat_g,protein_per_calorie
2187885,CHICKEN BREAST,"Giant Eagle, Inc.",Branded,"Poultry, Chicken & Turkey",165.0,20.4,8.1,1.06,,0.0,433.0,67.0,4.58,0.124
2092152,CHICKEN BREAST,"Tyson Foods, Inc.",Branded,"Pepperoni, Salami & Cold Cuts",143.0,14.3,8.93,3.57,,0.0,929.0,54.0,1.79,0.1
2125872,CHICKEN BREAST,"Jennie-O Turkey Store, Inc.",Branded,Cooked & Prepared,107.0,19.6,1.79,1.79,,0.0,857.0,71.0,0.0,0.183
2055943,CHICKEN BREAST,Tony Downs Foods Co,Branded,Canned Meat,107.0,21.4,1.79,0.0,,0.0,411.0,45.0,0.0,0.2
2096160,CHICKEN BREAST,H E Butt Grocery Company,Branded,Other Deli,96.0,11.4,4.16,5.71,,1.3,210.0,32.0,0.65,0.119
2620738,CHICKEN BREAST,Wakefern Food Corporation,Branded,"Pepperoni, Salami & Cold Cuts",107.0,17.9,2.68,1.79,,0.0,607.0,54.0,0.89,0.167
1935739,CHICKEN BREAST,The Hillshire Brands Company,Branded,"Pepperoni, Salami & Cold Cuts",92.0,18.4,1.02,2.04,,2.0,959.0,41.0,0.0,0.2
2279206,CHICKEN BREAST,"Fareway Stores, Inc.",Branded,Canned Meat,107.0,21.4,1.79,0.0,,0.0,429.0,54.0,0.0,0.2
1648039,CHICKEN BREAST,Oscar Mayer Foods Corp.,Branded,"Pepperoni, Salami & Cold Cuts",107.0,17.9,1.79,3.57,,,786.0,54.0,0.0,0.167
2066523,CHICKEN BREAST,"Eddy Packing Co., Inc.",Branded,"Poultry, Chicken & Turkey",116.0,17.0,2.23,3.57,,0.0,304.0,49.0,0.45,0.147
2705964,"Chicken breast, rotisserie, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",144.0,28.04,3.57,0.0,,0.0,328.0,86.0,0.863,0.195
2705963,"Chicken breast, rotisserie, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",175.0,26.37,7.67,0.09,,0.0,329.0,90.0,1.958,0.151
2705971,"Chicken breast, sauteed, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",206.0,25.72,10.62,0.0,,0.0,329.0,95.0,2.509,0.125
2705972,"Chicken breast, sauteed, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",176.0,29.62,5.45,0.0,,0.0,353.0,96.0,1.008,0.168
2705965,"Chicken breast, stewed, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",181.0,24.7,8.28,0.0,,0.0,316.0,92.0,2.152,0.136
2705966,"Chicken breast, stewed, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",149.0,27.96,3.26,0.0,,0.0,333.0,91.0,0.7,0.188
2705969,"Chicken breast, grilled with sauce, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",202.0,21.15,9.15,7.34,,0.2,454.0,78.0,2.105,0.105
2705970,"Chicken breast, grilled with sauce, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",178.0,24.33,4.93,7.34,,0.2,473.0,78.0,0.88,0.137
2705980,"Chicken breast, baked, coated, skin / coating eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",207.0,23.75,9.9,4.01,,0.2,320.0,88.0,2.314,0.115
2705981,"Chicken breast, baked, coated, skin / coating not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",176.0,29.62,5.45,0.0,,0.0,353.0,96.0,1.008,0.168
2705967,"Chicken breast, grilled without sauce, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",206.0,25.72,10.62,0.0,,0.0,329.0,95.0,2.509,0.125
2705968,"Chicken breast, grilled without sauce, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",176.0,29.62,5.45,0.0,,0.0,353.0,96.0,1.008,0.168
2705953,"Chicken breast, NS as to cooking method, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",175.0,26.37,7.67,0.09,,0.0,329.0,90.0,1.958,0.151
2705954,"Chicken breast, NS as to cooking method, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",144.0,28.04,3.57,0.0,,0.0,328.0,86.0,0.863,0.195
